Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
441,A588601,2020-06-08T13:22:00.000,2020-06-08T13:22:00.000,2008-11-10T00:00:00.000,Return to Owner,,Dog,Spayed Female,11 years,Australian Cattle Dog Mix,Blue Merle/White,Jackie
442,A815288,2020-06-08T13:00:00.000,2020-06-08T13:00:00.000,2019-03-13T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,Anatol Shepherd,Fawn,Bella
443,A817846,2020-06-08T12:56:00.000,2020-06-08T12:56:00.000,2019-12-12T00:00:00.000,Adoption,,Dog,Neutered Male,5 months,Labrador Retriever,Black/White,*Sweet
444,A749467,2020-06-08T12:14:00.000,2020-06-08T12:14:00.000,2017-04-23T00:00:00.000,Rto-Adopt,,Cat,Spayed Female,3 years,Domestic Medium Hair Mix,Brown Tabby/White,Chloe
445,A818396,2020-06-08T12:09:00.000,2020-06-08T12:09:00.000,2020-03-24T00:00:00.000,Transfer,Partner,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Red,
446,A817497,2020-06-08T12:00:00.000,2020-06-08T12:00:00.000,2018-11-17T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,Pit Bull/Blue Lacy,Blue/White,*Applesauce
447,A519763,2020-06-08T10:07:00.000,2020-06-08T10:07:00.000,2008-06-27T00:00:00.000,Return to Owner,Prc,Cat,Spayed Female,11 years,Domestic Medium Hair Mix,Torbie,Mia
448,A818274,2020-06-08T00:00:00.000,2020-06-08T00:00:00.000,2020-04-04T00:00:00.000,Died,In Kennel,Cat,Intact Female,2 months,Domestic Shorthair,Black,
449,A818380,2020-06-07T19:24:00.000,2020-06-07T19:24:00.000,2020-05-23T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,2 weeks,Bat,Brown,
450,A818054,2020-06-07T19:17:00.000,2020-06-07T19:17:00.000,2019-06-01T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,American Staffordshire Terrier,Chocolate/White,
451,A817995,2020-06-07T18:01:00.000,2020-06-07T18:01:00.000,2019-05-30T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/White,*Topeka
452,A800898,2020-06-07T18:00:00.000,2020-06-07T18:00:00.000,2006-07-28T00:00:00.000,Return to Owner,,Dog,Intact Female,13 years,Chihuahua Shorthair,White/Tan,Chile Pepper
453,A818200,2020-06-07T16:34:00.000,2020-06-07T16:34:00.000,2020-04-03T00:00:00.000,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White,*Baby Spice
454,A808587,2020-06-07T14:48:00.000,2020-06-07T14:48:00.000,2017-11-10T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Staffordshire/English Bulldog,Blue/White,Rocket
455,A818366,2020-06-07T13:32:00.000,2020-06-07T13:32:00.000,2020-03-30T00:00:00.000,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever,Black/Tan,Cookie
456,A818347,2020-06-07T11:28:00.000,2020-06-07T11:28:00.000,2020-04-29T00:00:00.000,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,
